id, date, sales, stock
9, 2024-02-28, 13, 26
10, 2024-02-28, 18, 5
1, 2024-02-27, 2, 74
2, 2024-02-27, 1, 33
3, 2024-02-27, 1, 47
4, 2024-02-27, 16, 55
5, 2024-02-27, 6, 46
6, 2024-02-27, 7, 18
7, 2024-02-27, 10, 3
8, 2024-02-27, 16, 99
9, 2024-02-27, 10, 17
10, 2024-02-27, 1, 21
1, 2024-02-26, 6, 31
2, 2024-02-26, 17, 7
3, 2024-02-26, 3, 0
4, 2024-02-26, 14, 2
5, 2024-02-26, 18, 77
6, 2024-02-26, 0, 42
7, 2024-02-26, 14, 4
8, 2024-02-26, 7, 19
9, 2024-02-26, 8, 23
10, 2024-02-26, 14, 17
1, 2024-02-25, 5, 46
2, 2024-02-25, 14, 3
3, 2024-02-25, 8, 55
4, 2024-02-25, 13, 33
5, 2024-02-25, 17, 56
6, 2024-02-25, 6, 92
7, 2024-02-25, 12, 65
8, 2024-02-25, 11, 11
9, 2024-02-25, 12, 68
10, 2024-02-25, 19, 31
1, 2024-02-24, 10, 38
2, 2024-02-24, 19, 53
3, 2024-02-24, 16, 83
4, 2024-02-24, 0, 6
5, 2024-02-24, 9, 82
6, 2024-02-24, 17, 56
7, 2024-02-24, 4, 11
8, 2024-02-24, 9, 21
9, 2024-02-24, 17, 36
10, 2024-02-24, 8, 30
1, 2024-02-23, 18, 67
2, 2024-02-23, 11, 3
3, 2024-02-23, 17, 76
4, 2024-02-23, 15, 67
5, 2024-02-23, 8, 32
6, 2024-02-23, 8, 80
7, 2024-02-23, 3, 27
8, 2024-02-23, 13, 91
9, 2024-02-23, 17, 41
10, 2024-02-23, 6, 0
1, 2024-02-22, 2, 66
2, 2024-02-22, 3, 74
3, 2024-02-22, 3, 89
4, 2024-02-22, 15, 15
5, 2024-02-22, 17, 90
6, 2024-02-22, 3, 79
7, 2024-02-22, 12, 31
8, 2024-02-22, 16, 43
9, 2024-02-22, 4, 92
10, 2024-02-22, 4, 42
1, 2024-02-21, 2, 79
2, 2024-02-21, 8, 10
3, 2024-02-21, 7, 25
4, 2024-02-21, 12, 21
5, 2024-02-21, 18, 18
6, 2024-02-21, 5, 76
7, 2024-02-21, 6, 64
8, 2024-02-21, 13, 88
9, 2024-02-21, 10, 19
10, 2024-02-21, 3, 81
1, 2024-02-20, 17, 98
2, 2024-02-20, 19, 47
3, 2024-02-20, 16, 30
4, 2024-02-20, 14, 43
5, 2024-02-20, 10, 62
6, 2024-02-20, 0, 18
7, 2024-02-20, 15, 30
8, 2024-02-20, 16, 57
9, 2024-02-20, 1, 22
10, 2024-02-20, 1, 28
1, 2024-02-19, 13, 97
2, 2024-02-19, 19, 71
3, 2024-02-19, 7, 34
4, 2024-02-19, 1, 48
5, 2024-02-19, 10, 22
6, 2024-02-19, 0, 69
7, 2024-02-19, 11, 17
8, 2024-02-19, 2, 75
9, 2024-02-19, 8, 95
10, 2024-02-19, 12, 29
1, 2024-02-18, 7, 31
2, 2024-02-18, 11, 16
3, 2024-02-18, 19, 43
4, 2024-02-18, 8, 84
5, 2024-02-18, 15, 34
6, 2024-02-18, 11, 1
7, 2024-02-18, 16, 91
8, 2024-02-18, 18, 73
9, 2024-02-18, 7, 10
10, 2024-02-18, 18, 76
1, 2024-02-17, 7, 16
2, 2024-02-17, 0, 13
3, 2024-02-17, 14, 20
4, 2024-02-17, 3, 86
5, 2024-02-17, 4, 17
6, 2024-02-17, 15, 29
7, 2024-02-17, 11, 88
8, 2024-02-17, 11, 94
9, 2024-02-17, 8, 66
10, 2024-02-17, 0, 77
1, 2024-02-16, 11, 58
2, 2024-02-16, 3, 33
3, 2024-02-16, 4, 2
4, 2024-02-16, 10, 25
5, 2024-02-16, 15, 87
6, 2024-02-16, 2, 29
7, 2024-02-16, 0, 5
8, 2024-02-16, 12, 46
9, 2024-02-16, 6, 14
10, 2024-02-16, 0, 11
1, 2024-02-15, 13, 47
2, 2024-02-15, 11, 72
3, 2024-02-15, 5, 88
4, 2024-02-15, 4, 44
5, 2024-02-15, 12, 14
6, 2024-02-15, 4, 78
7, 2024-02-15, 16, 19
8, 2024-02-15, 14, 84
9, 2024-02-15, 5, 56
10, 2024-02-15, 4, 88
1, 2024-02-14, 10, 94
2, 2024-02-14, 4, 71
3, 2024-02-14, 15, 86
4, 2024-02-14, 12, 63
5, 2024-02-14, 7, 43
6, 2024-02-14, 6, 37
7, 2024-02-14, 11, 96
8, 2024-02-14, 7, 20
9, 2024-02-14, 17, 72
10, 2024-02-14, 15, 94
1, 2024-02-13, 11, 32
2, 2024-02-13, 3, 44
3, 2024-02-13, 11, 60
4, 2024-02-13, 14, 20
5, 2024-02-13, 5, 54
6, 2024-02-13, 5, 71
7, 2024-02-13, 8, 0
8, 2024-02-13, 6, 94
9, 2024-02-13, 8, 43
10, 2024-02-13, 8, 99
1, 2024-02-12, 2, 89
2, 2024-02-12, 7, 92
3, 2024-02-12, 0, 71
4, 2024-02-12, 6, 59
5, 2024-02-12, 15, 70
6, 2024-02-12, 18, 10
7, 2024-02-12, 10, 35
8, 2024-02-12, 5, 91
9, 2024-02-12, 14, 70
10, 2024-02-12, 18, 35
1, 2024-02-11, 4, 86
2, 2024-02-11, 3, 53
3, 2024-02-11, 7, 89
4, 2024-02-11, 8, 3
5, 2024-02-11, 12, 38
6, 2024-02-11, 16, 21
7, 2024-02-11, 3, 39
8, 2024-02-11, 2, 87
9, 2024-02-11, 3, 92
10, 2024-02-11, 4, 72
1, 2024-02-10, 14, 18
2, 2024-02-10, 13, 79
3, 2024-02-10, 1, 60
4, 2024-02-10, 5, 89
5, 2024-02-10, 13, 57
6, 2024-02-10, 15, 44
7, 2024-02-10, 11, 27
8, 2024-02-10, 14, 84
9, 2024-02-10, 18, 50
10, 2024-02-10, 0, 93
1, 2024-02-09, 5, 46
2, 2024-02-09, 15, 33
3, 2024-02-09, 1, 74
4, 2024-02-09, 0, 18
5, 2024-02-09, 3, 31
6, 2024-02-09, 9, 63
7, 2024-02-09, 10, 61
8, 2024-02-09, 6, 0
9, 2024-02-09, 17, 59
10, 2024-02-09, 13, 58
1, 2024-02-08, 11, 39
2, 2024-02-08, 8, 10
3, 2024-02-08, 0, 33
4, 2024-02-08, 13, 44
5, 2024-02-08, 14, 25
6, 2024-02-08, 5, 16
7, 2024-02-08, 0, 65
8, 2024-02-08, 3, 29
9, 2024-02-08, 9, 99
10, 2024-02-08, 7, 56
1, 2024-02-07, 19, 71
2, 2024-02-07, 8, 4
3, 2024-02-07, 13, 93
4, 2024-02-07, 7, 87
5, 2024-02-07, 11, 33
6, 2024-02-07, 5, 53
7, 2024-02-07, 5, 50
8, 2024-02-07, 5, 55
9, 2024-02-07, 4, 25
10, 2024-02-07, 18, 11
